Komoditas,Tahun,Bulan,Harga
 Gula Pasir Lokal/Curah,2023,September,"Rp15,014"
 Tepung Terigu Curah,2023,September,"Rp11,054"
 Tepung Terigu Kemasan,2023,September,"Rp13,758"
 Minyak Goreng Kemasan,2023,September,"Rp17,653"
 Minyak Goreng Curah,2023,September,"Rp14,687"
 Jagung Tk. Peternak,2023,September,"Rp7,064"
 Ikan Kembung,2023,September,"Rp40,305"
 Ikan Tongkol,2023,September,"Rp36,396"
 Ikan Bandeng,2023,September,"Rp35,601"
 Garam konsumsi,2023,September,"Rp12,074"
 Beras Premium,2023,Oktober,"Rp15,014"
 Beras Medium,2023,Oktober,"Rp13,277"
 Kedelai Biji Kering,2023,Oktober,"Rp13,222"
 Bawang Merah,2023,Oktober,"Rp24,403"
 Bawang Putih (Bonggol),2023,Oktober,"Rp36,810"
 Cabai Merah Keriting,2023,Oktober,"Rp46,029"
Cabai Rawit Merah,2023,Oktober,"Rp55,904"
 Daging Sapi Murni,2023,Oktober,"Rp135,393"
 Daging Ayam Ras,2023,Oktober,"Rp35,808"
 Telur Ayam Ras,2023,Oktober,"Rp28,248"
 Gula Pasir Lokal/Curah,2023,Oktober,"Rp15,681"
 Tepung Terigu Curah,2023,Oktober,"Rp11,021"
 Tepung Terigu Kemasan,2023,Oktober,"Rp13,712"
 Minyak Goreng Kemasan,2023,Oktober,"Rp17,581"
 Minyak Goreng Curah,2023,Oktober,"Rp14,623"
 Jagung Tk. Peternak,2023,Oktober,"Rp7,322"
 Ikan Kembung,2023,Oktober,"Rp39,520"
 Ikan Tongkol,2023,Oktober,"Rp35,667"
 Ikan Bandeng,2023,Oktober,"Rp35,610"
 Garam konsumsi,2023,Oktober,"Rp11,972"
 Beras Premium,2023,November,"Rp15,045"
 Beras Medium,2023,November,"Rp13,234"
 Kedelai Biji Kering,2023,November,"Rp13,455"
 Bawang Merah,2023,November,"Rp28,846"
 Bawang Putih (Bonggol),2023,November,"Rp36,112"
 Cabai Merah Keriting,2023,November,"Rp65,453"
Cabai Rawit Merah,2023,November,"Rp79,462"
 Daging Sapi Murni,2023,November,"Rp135,300"
 Daging Ayam Ras,2023,November,"Rp35,219"
 Telur Ayam Ras,2023,November,"Rp28,415"
 Gula Pasir Lokal/Curah,2023,November,"Rp16,703"
 Tepung Terigu Curah,2023,November,"Rp10,972"
 Tepung Terigu Kemasan,2023,November,"Rp13,689"
 Minyak Goreng Kemasan,2023,November,"Rp17,558"
 Minyak Goreng Curah,2023,November,"Rp14,690"
 Jagung Tk. Peternak,2023,November,"Rp7,499"
 Ikan Kembung,2023,November,"Rp39,109"
 Ikan Tongkol,2023,November,"Rp34,754"
 Ikan Bandeng,2023,November,"Rp35,250"
 Garam konsumsi,2023,November,"Rp11,987"
 Beras Premium,2023,Desember,"Rp15,057"
 Beras Medium,2023,Desember,"Rp13,255"
 Kedelai Biji Kering,2023,Desember,"Rp13,492"
 Bawang Merah,2023,Desember,"Rp33,359"
 Bawang Putih (Bonggol),2023,Desember,"Rp36,954"
 Cabai Merah Keriting,2023,Desember,"Rp66,834"
Cabai Rawit Merah,2023,Desember,"Rp88,073"
 Daging Sapi Murni,2023,Desember,"Rp135,476"
 Daging Ayam Ras,2023,Desember,"Rp35,499"
 Telur Ayam Ras,2023,Desember,"Rp28,520"
 Gula Pasir Lokal/Curah,2023,Desember,"Rp17,342"
 Tepung Terigu Curah,2023,Desember,"Rp10,914"
 Tepung Terigu Kemasan,2023,Desember,"Rp13,654"
 Minyak Goreng Kemasan,2023,Desember,"Rp17,555"
 Minyak Goreng Curah,2023,Desember,"Rp14,764"
 Jagung Tk. Peternak,2023,Desember,"Rp7,608"
 Ikan Kembung,2023,Desember,"Rp38,903"
 Ikan Tongkol,2023,Desember,"Rp34,442"
 Ikan Bandeng,2023,Desember,"Rp35,134"
 Garam konsumsi,2023,Desember,"Rp12,051"
 Beras Premium,2024,Januari,"Rp15,217"
 Beras Medium,2024,Januari,"Rp13,411"
 Kedelai Biji Kering,2024,Januari,"Rp13,594"
 Bawang Merah,2024,Januari,"Rp37,119"
 Bawang Putih (Bonggol),2024,Januari,"Rp38,980"
 Cabai Merah Keriting,2024,Januari,"Rp52,611"
Cabai Rawit Merah,2024,Januari,"Rp56,640"
 Daging Sapi Murni,2024,Januari,"Rp135,059"
 Daging Ayam Ras,2024,Januari,"Rp36,139"
 Telur Ayam Ras,2024,Januari,"Rp28,445"
 Gula Pasir Lokal/Curah,2024,Januari,"Rp17,414"
 Tepung Terigu Curah,2024,Januari,"Rp10,818"
 Tepung Terigu Kemasan,2024,Januari,"Rp13,606"
 Minyak Goreng Kemasan,2024,Januari,"Rp17,465"
 Minyak Goreng Curah,2024,Januari,"Rp14,899"
 Jagung Tk. Peternak,2024,Januari,"Rp8,352"
 Ikan Kembung,2024,Januari,"Rp38,930"
 Ikan Tongkol,2024,Januari,"Rp33,874"
 Ikan Bandeng,2024,Januari,"Rp35,104"
 Garam konsumsi,2024,Januari,"Rp12,064"
 Beras Premium,2024,Februari,"Rp16,047"
 Beras Medium,2024,Februari,"Rp14,081"
 Kedelai Biji Kering,2024,Februari,"Rp13,508"
 Bawang Merah,2024,Februari,"Rp34,605"
 Bawang Putih (Bonggol),2024,Februari,"Rp39,090"
 Cabai Merah Keriting,2024,Februari,"Rp62,045"
Cabai Rawit Merah,2024,Februari,"Rp58,265"
 Daging Sapi Murni,2024,Februari,"Rp134,921"
 Daging Ayam Ras,2024,Februari,"Rp36,997"
 Telur Ayam Ras,2024,Februari,"Rp29,413"
 Gula Pasir Lokal/Curah,2024,Februari,"Rp17,630"
 Tepung Terigu Curah,2024,Februari,"Rp10,781"
 Tepung Terigu Kemasan,2024,Februari,"Rp13,655"
 Minyak Goreng Kemasan,2024,Februari,"Rp17,647"
 Minyak Goreng Curah,2024,Februari,"Rp15,358"
 Jagung Tk. Peternak,2024,Februari,"Rp9,010"
 Ikan Kembung,2024,Februari,"Rp38,809"
 Ikan Tongkol,2024,Februari,"Rp33,583"
 Ikan Bandeng,2024,Februari,"Rp34,891"
 Garam konsumsi,2024,Februari,"Rp12,218"
 Beras Premium,2024,Maret,"Rp16,517"
 Beras Medium,2024,Maret,"Rp14,370"
 Kedelai Biji Kering,2024,Maret,"Rp13,446"
 Bawang Merah,2024,Maret,"Rp34,895"
 Bawang Putih (Bonggol),2024,Maret,"Rp41,118"
 Cabai Merah Keriting,2024,Maret,"Rp58,651"
Cabai Rawit Merah,2024,Maret,"Rp59,817"
 Daging Sapi Murni,2024,Maret,"Rp136,142"
 Daging Ayam Ras,2024,Maret,"Rp38,512"
 Telur Ayam Ras,2024,Maret,"Rp31,923"
 Gula Pasir Lokal/Curah,2024,Maret,"Rp17,904"
 Tepung Terigu Curah,2024,Maret,"Rp11,524"
 Tepung Terigu Kemasan,2024,Maret,"Rp14,446"
 Minyak Goreng Kemasan,2024,Maret,"Rp19,060"
 Minyak Goreng Curah,2024,Maret,"Rp15,792"
 Jagung Tk. Peternak,2024,Maret,"Rp8,786"
 Ikan Kembung,2024,Maret,"Rp40,702"
 Ikan Tongkol,2024,Maret,"Rp35,754"
 Ikan Bandeng,2024,Maret,"Rp38,691"
 Garam konsumsi,2024,Maret,"Rp12,690"
 Beras Premium,2024,April,"Rp16,102"
 Beras Medium,2024,April,"Rp13,880"
 Kedelai Biji Kering,2024,April,"Rp13,411"
 Bawang Merah,2024,April,"Rp47,804"
 Bawang Putih (Bonggol),2024,April,"Rp43,647"
 Cabai Merah Keriting,2024,April,"Rp49,095"
Cabai Rawit Merah,2024,April,"Rp53,110"
 Daging Sapi Murni,2024,April,"Rp137,824"
 Daging Ayam Ras,2024,April,"Rp38,884"
 Telur Ayam Ras,2024,April,"Rp30,960"
 Gula Pasir Lokal/Curah,2024,April,"Rp18,145"
 Tepung Terigu Curah,2024,April,"Rp11,474"
 Tepung Terigu Kemasan,2024,April,"Rp14,417"
 Minyak Goreng Kemasan,2024,April,"Rp19,187"
 Minyak Goreng Curah,2024,April,"Rp15,976"
 Jagung Tk. Peternak,2024,April,"Rp8,366"
 Ikan Kembung,2024,April,"Rp40,775"
 Ikan Tongkol,2024,April,"Rp35,784"
 Ikan Bandeng,2024,April,"Rp38,475"
 Garam konsumsi,2024,April,"Rp12,590"
 Beras Premium,2024,Mei,"Rp15,623"
 Beras Medium,2024,Mei,"Rp13,562"
 Kedelai Biji Kering,2024,Mei,"Rp12,282"
 Bawang Merah,2024,Mei,"Rp48,659"
 Bawang Putih (Bonggol),2024,Mei,"Rp43,448"
 Cabai Merah Keriting,2024,Mei,"Rp48,650"
Cabai Rawit Merah,2024,Mei,"Rp47,795"
 Daging Sapi Murni,2024,Mei,"Rp136,400"
 Daging Ayam Ras,2024,Mei,"Rp38,513"
 Telur Ayam Ras,2024,Mei,"Rp30,731"
 Gula Pasir Lokal/Curah,2024,Mei,"Rp18,435"
 Tepung Terigu Curah,2024,Mei,"Rp11,090"
 Tepung Terigu Kemasan,2024,Mei,"Rp14,383"
 Minyak Goreng Kemasan,2024,Mei,"Rp19,098"
 Minyak Goreng Curah,2024,Mei,"Rp15,902"
 Jagung Tk. Peternak,2024,Mei,"Rp6,172"
 Ikan Kembung,2024,Mei,"Rp40,279"
 Ikan Tongkol,2024,Mei,"Rp35,288"
 Ikan Bandeng,2024,Mei,"Rp38,259"
 Garam konsumsi,2024,Mei,"Rp12,287"
Beras SPHP,2024,Juni,"Rp13,188"
 Beras Premium,2024,Juni,"Rp15,521"
 Beras Medium,2024,Juni,"Rp13,480"
 Kedelai Biji Kering,2024,Juni,"Rp12,142"
 Bawang Merah,2024,Juni,"Rp43,426"
 Bawang Putih (Bonggol),2024,Juni,"Rp42,582"
 Cabai Merah Keriting,2024,Juni,"Rp54,357"
Cabai Rawit Merah,2024,Juni,"Rp51,599"
 Daging Sapi Murni,2024,Juni,"Rp136,598"
 Daging Ayam Ras,2024,Juni,"Rp37,493"
 Telur Ayam Ras,2024,Juni,"Rp30,158"
 Gula Pasir Lokal/Curah,2024,Juni,"Rp18,261"
 Tepung Terigu Curah,2024,Juni,"Rp10,829"
 Tepung Terigu Kemasan,2024,Juni,"Rp14,291"
 Minyak Goreng Kemasan,2024,Juni,"Rp19,078"
 Minyak Goreng Curah,2024,Juni,"Rp15,905"
 Jagung Tk. Peternak,2024,Juni,"Rp5,799"
 Ikan Kembung,2024,Juni,"Rp40,583"
 Ikan Tongkol,2024,Juni,"Rp35,616"
 Ikan Bandeng,2024,Juni,"Rp38,090"
 Garam konsumsi,2024,Juni,"Rp12,350"
Beras SPHP,2024,Juli,"Rp12,819"
 Beras Premium,2024,Juli,"Rp15,582"
 Beras Medium,2024,Juli,"Rp13,598"
 Kedelai Biji Kering,2024,Juli,"Rp12,115"
 Bawang Merah,2024,Juli,"Rp33,616"
 Bawang Putih (Bonggol),2024,Juli,"Rp40,851"
 Cabai Merah Keriting,2024,Juli,"Rp47,255"
Cabai Rawit Merah,2024,Juli,"Rp60,762"
 Daging Sapi Murni,2024,Juli,"Rp136,056"
 Daging Ayam Ras,2024,Juli,"Rp36,316"
 Telur Ayam Ras,2024,Juli,"Rp29,655"
 Gula Pasir Lokal/Curah,2024,Juli,"Rp18,083"
 Tepung Terigu Curah,2024,Juli,"Rp10,712"
 Tepung Terigu Kemasan,2024,Juli,"Rp14,297"
 Minyak Goreng Kemasan,2024,Juli,"Rp19,190"
 Minyak Goreng Curah,2024,Juli,"Rp16,041"
 Jagung Tk. Peternak,2024,Juli,"Rp5,898"
 Ikan Kembung,2024,Juli,"Rp40,133"
 Ikan Tongkol,2024,Juli,"Rp35,204"
 Ikan Bandeng,2024,Juli,"Rp37,543"
 Garam konsumsi,2024,Juli,"Rp12,377"
Beras SPHP,2024,Agustus,"Rp12,602"
 Beras Premium,2024,Agustus,"Rp15,606"
 Beras Medium,2024,Agustus,"Rp13,643"
 Kedelai Biji Kering,2024,Agustus,"Rp12,060"
 Bawang Merah,2024,Agustus,"Rp27,097"
 Bawang Putih (Bonggol),2024,Agustus,"Rp40,258"
 Cabai Merah Keriting,2024,Agustus,"Rp46,252"
Cabai Rawit Merah,2024,Agustus,"Rp63,725"
 Daging Sapi Murni,2024,Agustus,"Rp136,007"
 Daging Ayam Ras,2024,Agustus,"Rp35,809"
 Telur Ayam Ras,2024,Agustus,"Rp29,069"
 Gula Pasir Lokal/Curah,2024,Agustus,"Rp18,003"
 Tepung Terigu Curah,2024,Agustus,"Rp10,337"
 Tepung Terigu Kemasan,2024,Agustus,"Rp13,469"
 Minyak Goreng Kemasan,2024,Agustus,"Rp18,195"
 Minyak Goreng Curah,2024,Agustus,"Rp16,151"
 Jagung Tk. Peternak,2024,Agustus,"Rp6,099"
 Ikan Kembung,2024,Agustus,"Rp38,471"
 Ikan Tongkol,2024,Agustus,"Rp32,804"
 Ikan Bandeng,2024,Agustus,"Rp34,442"
 Garam konsumsi,2024,Agustus,"Rp11,981"
Beras SPHP,2024,September,"Rp12,589"
 Beras Premium,2024,September,"Rp15,582"
 Beras Medium,2024,September,"Rp13,627"
 Kedelai Biji Kering,2024,September,"Rp11,323"
 Bawang Merah,2024,September,"Rp27,458"
 Bawang Putih (Bonggol),2024,September,"Rp39,960"
 Cabai Merah Keriting,2024,September,"Rp38,206"
Cabai Rawit Merah,2024,September,"Rp48,753"
 Daging Sapi Murni,2024,September,"Rp135,632"
 Daging Ayam Ras,2024,September,"Rp35,319"
 Telur Ayam Ras,2024,September,"Rp28,662"
 Gula Pasir Lokal/Curah,2024,September,"Rp17,862"
 Tepung Terigu Curah,2024,September,"Rp10,285"
 Tepung Terigu Kemasan,2024,September,"Rp13,244"
 Minyak Goreng Kemasan,2024,September,"Rp18,223"
 Minyak Goreng Curah,2024,September,"Rp16,320"
 Jagung Tk. Peternak,2024,September,"Rp6,228"
 Ikan Kembung,2024,September,"Rp38,532"
 Ikan Tongkol,2024,September,"Rp32,863"
 Ikan Bandeng,2024,September,"Rp34,436"
 Garam konsumsi,2024,September,"Rp11,944"
Beras SPHP,2024,Oktober,"Rp12,573"
 Beras Premium,2024,Oktober,"Rp15,545"
 Beras Medium,2024,Oktober,"Rp13,606"
 Kedelai Biji Kering,2024,Oktober,"Rp10,786"
 Bawang Merah,2024,Oktober,"Rp29,985"
 Bawang Putih (Bonggol),2024,Oktober,"Rp40,203"
 Cabai Merah Keriting,2024,Oktober,"Rp33,637"
Cabai Rawit Merah,2024,Oktober,"Rp47,263"
 Daging Sapi Murni,2024,Oktober,"Rp135,503"
 Daging Ayam Ras,2024,Oktober,"Rp36,127"
 Telur Ayam Ras,2024,Oktober,"Rp28,847"
 Gula Pasir Lokal/Curah,2024,Oktober,"Rp17,978"
 Tepung Terigu Curah,2024,Oktober,"Rp10,239"
 Tepung Terigu Kemasan,2024,Oktober,"Rp13,189"
 Minyak Goreng Kemasan,2024,Oktober,"Rp18,336"
 Minyak Goreng Curah,2024,Oktober,"Rp16,579"
 Jagung Tk. Peternak,2024,Oktober,"Rp6,271"
 Ikan Kembung,2024,Oktober,"Rp38,388"
 Ikan Tongkol,2024,Oktober,"Rp32,594"
 Ikan Bandeng,2024,Oktober,"Rp34,419"
 Garam konsumsi,2024,Oktober,"Rp11,814"
Beras SPHP,2024,November,"Rp12,552"
 Beras Premium,2024,November,"Rp15,491"
 Beras Medium,2024,November,"Rp13,534"
 Kedelai Biji Kering,2024,November,"Rp10,622"
 Bawang Merah,2024,November,"Rp37,628"
 Bawang Putih (Bonggol),2024,November,"Rp41,214"
 Cabai Merah Keriting,2024,November,"Rp31,690"
Cabai Rawit Merah,2024,November,"Rp42,951"
 Daging Sapi Murni,2024,November,"Rp135,508"
 Daging Ayam Ras,2024,November,"Rp36,778"
 Telur Ayam Ras,2024,November,"Rp28,716"
 Gula Pasir Lokal/Curah,2024,November,"Rp17,993"
 Tepung Terigu Curah,2024,November,"Rp10,216"
 Tepung Terigu Kemasan,2024,November,"Rp13,192"
 Minyak Goreng Kemasan,2024,November,"Rp18,485"
 Minyak Goreng Curah,2024,November,"Rp17,033"
 Jagung Tk. Peternak,2024,November,"Rp6,270"
 Ikan Kembung,2024,November,"Rp38,235"
 Ikan Tongkol,2024,November,"Rp32,244"
 Ikan Bandeng,2024,November,"Rp34,300"
 Garam konsumsi,2024,November,"Rp11,822"
Beras SPHP,2024,Desember,"Rp12,513"
 Beras Premium,2024,Desember,"Rp15,474"
 Beras Medium,2024,Desember,"Rp13,518"
 Kedelai Biji Kering,2024,Desember,"Rp10,493"
 Bawang Merah,2024,Desember,"Rp40,850"
 Bawang Putih (Bonggol),2024,Desember,"Rp42,574"
 Cabai Merah Keriting,2024,Desember,"Rp38,610"
Cabai Rawit Merah,2024,Desember,"Rp47,066"
 Daging Sapi Murni,2024,Desember,"Rp135,781"
 Daging Ayam Ras,2024,Desember,"Rp37,469"
 Telur Ayam Ras,2024,Desember,"Rp29,950"
 Gula Pasir Lokal/Curah,2024,Desember,"Rp18,021"
 Tepung Terigu Curah,2024,Desember,"Rp10,204"
 Tepung Terigu Kemasan,2024,Desember,"Rp13,167"
 Minyak Goreng Kemasan,2024,Desember,"Rp18,783"
 Minyak Goreng Curah,2024,Desember,"Rp17,511"
 Jagung Tk. Peternak,2024,Desember,"Rp6,314"
 Ikan Kembung,2024,Desember,"Rp39,111"
 Ikan Tongkol,2024,Desember,"Rp32,997"
 Ikan Bandeng,2024,Desember,"Rp34,788"
 Garam konsumsi,2024,Desember,"Rp11,819"
Beras SPHP,2025,Januari,"Rp12,492"
Beras Premium,2025,Januari,"Rp15,442"
Beras Medium,2025,Januari,"Rp13,546"
Kedelai Biji Kering,2025,Januari,"Rp10,361"
Bawang Merah,2025,Januari,"Rp39,040"
Bawang Putih (Bonggol),2025,Januari,"Rp42,525"
Cabai Merah Keriting,2025,Januari,"Rp56,445"
Cabai Rawit Merah,2025,Januari,"Rp74,250"
Daging Sapi Murni,2025,Januari,"Rp135,258"
Daging Ayam Ras,2025,Januari,"Rp37,495"
Telur Ayam Ras,2025,Januari,"Rp29,859"
Gula Pasir Lokal/Curah,2025,Januari,"Rp18,098"
Tepung Terigu Curah,2025,Januari,"Rp9,794"
Tepung Terigu Kemasan,2025,Januari,"Rp12,854"
Minyak Goreng Kemasan,2025,Januari,"Rp19,963"
Minyak Goreng Curah,2025,Januari,"Rp17,778"
Jagung Tk. Peternak,2025,Januari,"Rp6,356"
Ikan Kembung,2025,Januari,"Rp39,561"
Ikan Tongkol,2025,Januari,"Rp32,537"
Ikan Bandeng,2025,Januari,"Rp33,523"
Garam konsumsi,2025,Januari,"Rp11,717"
Beras SPHP,2025,Februari,"Rp12,518"
Beras Premium,2025,Februari,"Rp15,500"
Beras Medium,2025,Februari,"Rp13,613"
Kedelai Biji Kering,2025,Februari,"Rp10,511"
Bawang Merah,2025,Februari,"Rp35,844"
Bawang Putih (Bonggol),2025,Februari,"Rp42,696"
Cabai Merah Keriting,2025,Februari,"Rp52,937"
Cabai Rawit Merah,2025,Februari,"Rp68,786"
Daging Sapi Murni,2025,Februari,"Rp134,708"
Daging Ayam Ras,2025,Februari,"Rp35,981"
Telur Ayam Ras,2025,Februari,"Rp29,440"
Gula Pasir Lokal/Curah,2025,Februari,"Rp18,331"
Tepung Terigu Curah,2025,Februari,"Rp9,789"
Tepung Terigu Kemasan,2025,Februari,"Rp12,900"
Minyak Goreng Kemasan,2025,Februari,"Rp20,426"
Minyak Goreng Curah,2025,Februari,"Rp17,849"
Jagung Tk. Peternak,2025,Februari,"Rp6,357"
Ikan Kembung,2025,Februari,"Rp39,978"
Ikan Tongkol,2025,Februari,"Rp33,088"
Ikan Bandeng,2025,Februari,"Rp33,656"
Garam konsumsi,2025,Februari,"Rp11,682"
Cabai Merah Besar,2025,Februari,"Rp53,268"
Minyak Kita,2025,Februari,"Rp17,644"
Daging Kerbau Beku (Impor),2025,Februari,"Rp106,836"
Daging Kerbau Segar (Lokal),2025,Februari,"Rp144,686"
Beras SPHP,2025,Maret,"Rp12,652"
Beras Premium,2025,Maret,"Rp15,545"
Beras Medium,2025,Maret,"Rp13,696"
Kedelai Biji Kering,2025,Maret,"Rp10,610"
Bawang Merah,2025,Maret,"Rp41,458"
Bawang Putih (Bonggol),2025,Maret,"Rp43,839"
Cabai Merah Keriting,2025,Maret,"Rp52,791"
Cabai Rawit Merah,2025,Maret,"Rp85,030"
Daging Sapi Murni,2025,Maret,"Rp136,146"
Daging Ayam Ras,2025,Maret,"Rp36,400"
Telur Ayam Ras,2025,Maret,"Rp29,665"
Gula Pasir Lokal/Curah,2025,Maret,"Rp18,513"
Tepung Terigu Curah,2025,Maret,"Rp9,807"
Tepung Terigu Kemasan,2025,Maret,"Rp12,938"
Minyak Goreng Kemasan,2025,Maret,"Rp20,621"
Minyak Goreng Curah,2025,Maret,"Rp17,942"
Jagung Tk. Peternak,2025,Maret,"Rp6,193"
Ikan Kembung,2025,Maret,"Rp40,827"
Ikan Tongkol,2025,Maret,"Rp33,789"
Ikan Bandeng,2025,Maret,"Rp34,097"
Garam konsumsi,2025,Maret,"Rp11,669"
Cabai Merah Besar,2025,Maret,"Rp54,278"
Minyak Kita,2025,Maret,"Rp17,647"
Daging Kerbau Beku (Impor),2025,Maret,"Rp106,303"
Daging Kerbau Segar (Lokal),2025,Maret,"Rp142,245"
Beras SPHP,2025,April,"Rp12,612"
Beras Premium,2025,April,"Rp15,563"
Beras Medium,2025,April,"Rp13,715"
Kedelai Biji Kering,2025,April,"Rp10,715"
Bawang Merah,2025,April,"Rp44,516"
Bawang Putih (Bonggol),2025,April,"Rp44,750"
Cabai Merah Keriting,2025,April,"Rp58,560"
Cabai Rawit Merah,2025,April,"Rp77,710"
Daging Sapi Murni,2025,April,"Rp136,153"
Daging Ayam Ras,2025,April,"Rp35,420"
Telur Ayam Ras,2025,April,"Rp29,149"
Gula Pasir Lokal/Curah,2025,April,"Rp18,547"
Tepung Terigu Curah,2025,April,"Rp9,814"
Tepung Terigu Kemasan,2025,April,"Rp12,949"
Minyak Goreng Kemasan,2025,April,"Rp20,694"
Minyak Goreng Curah,2025,April,"Rp17,929"
Jagung Tk. Peternak,2025,April,"Rp6,174"
Ikan Kembung,2025,April,"Rp41,368"
Ikan Tongkol,2025,April,"Rp34,527"
Ikan Bandeng,2025,April,"Rp34,577"
Garam konsumsi,2025,April,"Rp11,669"
Cabai Merah Besar,2025,April,"Rp52,621"
Minyak Kita,2025,April,"Rp17,631"
Daging Kerbau Beku (Impor),2025,April,"Rp107,514"
Daging Kerbau Segar (Lokal),2025,April,"Rp141,664"
Beras SPHP,2025,Mei,"Rp12,642"
Beras Premium,2025,Mei,"Rp15,595"
Beras Medium,2025,Mei,"Rp13,762"
Kedelai Biji Kering,2025,Mei,"Rp10,821"
Bawang Merah,2025,Mei,"Rp39,639"
Bawang Putih (Bonggol),2025,Mei,"Rp42,519"
Cabai Merah Keriting,2025,Mei,"Rp49,512"
Cabai Rawit Merah,2025,Mei,"Rp52,738"
Daging Sapi Murni,2025,Mei,"Rp135,461"
Daging Ayam Ras,2025,Mei,"Rp34,814"
Telur Ayam Ras,2025,Mei,"Rp29,108"
Gula Pasir Lokal/Curah,2025,Mei,"Rp18,547"
Tepung Terigu Curah,2025,Mei,"Rp9,811"
Tepung Terigu Kemasan,2025,Mei,"Rp12,974"
Minyak Goreng Kemasan,2025,Mei,"Rp20,798"
Minyak Goreng Curah,2025,Mei,"Rp17,823"
Jagung Tk. Peternak,2025,Mei,"Rp6,207"
Ikan Kembung,2025,Mei,"Rp40,823"
Ikan Tongkol,2025,Mei,"Rp33,869"
Ikan Bandeng,2025,Mei,"Rp34,216"
Garam konsumsi,2025,Mei,"Rp11,626"
Cabai Merah Besar,2025,Mei,"Rp45,031"
Minyak Kita,2025,Mei,"Rp17,608"
Daging Kerbau Beku (Impor),2025,Mei,"Rp107,279"
Daging Kerbau Segar (Lokal),2025,Mei,"Rp140,677"
Beras SPHP,2025,Juni,"Rp12,585"
Beras Premium,2025,Juni,"Rp15,747"
Beras Medium,2025,Juni,"Rp13,996"
Kedelai Biji Kering,2025,Juni,"Rp10,851"
Bawang Merah,2025,Juni,"Rp42,262"
Bawang Putih (Bonggol),2025,Juni,"Rp39,909"
Cabai Merah Keriting,2025,Juni,"Rp44,444"
Cabai Rawit Merah,2025,Juni,"Rp54,705"
Daging Sapi Murni,2025,Juni,"Rp135,375"
Daging Ayam Ras,2025,Juni,"Rp35,034"
Telur Ayam Ras,2025,Juni,"Rp29,239"
Gula Pasir Lokal/Curah,2025,Juni,"Rp18,469"
Tepung Terigu Curah,2025,Juni,"Rp9,798"
Tepung Terigu Kemasan,2025,Juni,"Rp12,992"
Minyak Goreng Kemasan,2025,Juni,"Rp20,834"
Minyak Goreng Curah,2025,Juni,"Rp17,646"
Jagung Tk. Peternak,2025,Juni,"Rp6,183"
Ikan Kembung,2025,Juni,"Rp40,916"
Ikan Tongkol,2025,Juni,"Rp33,965"
Ikan Bandeng,2025,Juni,"Rp34,439"
Garam konsumsi,2025,Juni,"Rp11,643"
Cabai Merah Besar,2025,Juni,"Rp45,075"
Minyak Kita,2025,Juni,"Rp17,574"
Daging Kerbau Beku (Impor),2025,Juni,"Rp105,222"
Daging Kerbau Segar (Lokal),2025,Juni,"Rp140,961"
Beras SPHP,2025,Juli,"Rp12,567"
Beras Premium,2025,Juli,"Rp16,045"
Beras Medium,2025,Juli,"Rp14,301"
Kedelai Biji Kering,2025,Juli,"Rp10,851"
Bawang Merah,2025,Juli,"Rp46,281"
Bawang Putih (Bonggol),2025,Juli,"Rp39,075"
Cabai Merah Keriting,2025,Juli,"Rp44,707"
Cabai Rawit Merah,2025,Juli,"Rp64,351"
Daging Sapi Murni,2025,Juli,"Rp135,098"
Daging Ayam Ras,2025,Juli,"Rp35,391"
Telur Ayam Ras,2025,Juli,"Rp29,469"
Gula Pasir Lokal/Curah,2025,Juli,"Rp18,350"
Tepung Terigu Curah,2025,Juli,"Rp9,779"
Tepung Terigu Kemasan,2025,Juli,"Rp12,976"
Minyak Goreng Kemasan,2025,Juli,"Rp20,844"
Minyak Goreng Curah,2025,Juli,"Rp17,520"
Jagung Tk. Peternak,2025,Juli,"Rp6,221"
Ikan Kembung,2025,Juli,"Rp41,255"
Ikan Tongkol,2025,Juli,"Rp34,183"
Ikan Bandeng,2025,Juli,"Rp34,663"
Garam konsumsi,2025,Juli,"Rp11,649"
Cabai Merah Besar,2025,Juli,"Rp43,640"
Minyak Kita,2025,Juli,"Rp17,547"
Daging Kerbau Beku (Impor),2025,Juli,"Rp105,220"
Daging Kerbau Segar (Lokal),2025,Juli,"Rp141,374"
Beras SPHP,2025,Agustus,"Rp12,620"
Beras Premium,2025,Agustus,"Rp16,194"
Beras Medium,2025,Agustus,"Rp14,354"
Kedelai Biji Kering,2025,Agustus,"Rp10,789"
Bawang Merah,2025,Agustus,"Rp51,250"
Bawang Putih (Bonggol),2025,Agustus,"Rp38,386"
Cabai Merah Keriting,2025,Agustus,"Rp42,521"
Cabai Rawit Merah,2025,Agustus,"Rp49,028"
Daging Sapi Murni,2025,Agustus,"Rp135,082"
Daging Ayam Ras,2025,Agustus,"Rp35,404"
Telur Ayam Ras,2025,Agustus,"Rp29,564"
Gula Pasir Lokal/Curah,2025,Agustus,"Rp18,254"
Tepung Terigu Curah,2025,Agustus,"Rp9,792"
Tepung Terigu Kemasan,2025,Agustus,"Rp13,036"
Minyak Goreng Kemasan,2025,Agustus,"Rp20,881"
Minyak Goreng Curah,2025,Agustus,"Rp17,525"
Jagung Tk. Peternak,2025,Agustus,"Rp6,457"
Ikan Kembung,2025,Agustus,"Rp41,603"
Ikan Tongkol,2025,Agustus,"Rp34,562"
Ikan Bandeng,2025,Agustus,"Rp34,642"
