date,jual
2020-10-20,14729
2020-10-19,14741
2020-10-16,14766
2020-10-15,14760
2020-10-14,14780
2020-10-13,14793
2020-10-12,14746
2020-10-09,14737
2020-10-08,14750
2020-10-07,14784
2020-10-06,14712
2020-10-05,14867
2020-10-02,14890
2020-10-01,14876
2020-09-30,14918
2020-09-29,14920
2020-09-28,14959
2020-09-25,14951
2020-09-24,14949
2020-09-23,14835
2020-09-22,14782
2020-09-21,14723
2020-09-18,14768
2020-09-17,14878
2020-09-16,14844
2020-09-15,14870
2020-09-14,14974
2020-09-11,14979
2020-09-10,14871
2020-09-09,14853
2020-09-08,14798
2020-09-07,14754
2020-09-04,14792
2020-09-03,14818
2020-09-02,14804
2020-09-01,14615
2020-08-31,14554
2020-08-28,14702
2020-08-27,14714
2020-08-26,14636
2020-08-25,14632
2020-08-24,14794
