tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
03/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","12,950","12,600","36,200","36,200","117,350","120,750","112,200","25,550","25,550","40,100","40,100","56,450","56,450","37,800","39,550","36,550","40,900","37,400","44,150","13,150","11,300","14,300","13,650","13,500","14,850","12,550"
06/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","36,650","36,650","117,550","120,850","112,050","25,800","25,800","39,400","39,400","64,100","64,100","40,600","41,750","39,800","44,200","39,700","48,400","13,150","11,300","14,300","13,650","13,600","14,900","12,700"
07/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","36,550","36,550","117,300","120,700","111,900","25,950","25,950","39,050","39,050","63,700","63,700","41,950","42,650","41,100","45,550","41,050","49,300","13,150","11,300","14,300","13,650","13,650","14,900","12,750"
08/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","36,250","36,250","117,350","120,750","112,350","26,000","26,000","38,800","38,800","61,350","61,350","42,300","43,150","41,450","45,800","41,650","49,700","13,150","11,300","14,300","13,600","13,650","14,900","12,750"
09/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","36,150","36,150","117,250","120,650","112,150","25,950","25,950","38,650","38,650","59,450","59,450","42,700","43,400","41,850","45,550","41,450","49,200","13,150","11,300","14,300","13,600","13,700","14,950","12,800"
10/ 05/ 2019,"11,700","10,600","10,300","11,750","11,550","13,100","12,700","35,950","35,950","117,450","120,950","112,250","25,750","25,750","38,600","38,600","58,650","58,650","42,050","43,800","40,900","44,600","41,450","47,550","13,100","11,250","14,250","13,600","13,700","14,900","12,800"
13/ 05/ 2019,"11,700","10,650","10,250","11,800","11,550","13,000","12,600","35,400","35,400","117,350","120,800","112,200","26,000","26,000","37,500","37,500","55,250","55,250","39,950","41,450","38,700","41,850","38,400","44,650","13,150","11,350","14,300","13,600","13,750","14,950","12,850"
14/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","35,200","35,200","117,350","120,800","112,200","26,050","26,050","37,350","37,350","53,450","53,450","39,200","40,900","37,800","41,100","37,250","44,300","13,150","11,350","14,300","13,600","13,750","14,950","12,900"
15/ 05/ 2019,"11,700","10,650","10,250","11,800","11,550","13,050","12,650","34,850","34,850","117,600","121,000","112,500","26,050","26,050","37,300","37,300","51,750","51,750","38,350","39,850","37,050","41,100","37,550","44,000","13,150","11,350","14,300","13,600","13,800","15,000","12,900"
16/ 05/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","34,650","34,650","117,250","120,750","112,150","26,000","26,000","36,500","36,500","50,100","50,100","37,250","39,100","35,700","39,850","36,500","42,300","13,150","11,350","14,300","13,600","13,800","14,950","12,900"
